"","attr_importance"
"Raw_v",0
"Delta_v",0
"Theta_v",0.457663371518494
"Alpha.1_v",0
"Alpha.2_v",0.410590836618132
"Beta.1_v",0.437383524868149
"Beta.2_v",0.435607305421217
"Gamma1_v",0
"Gamma2_v",0.467406972303383
"Raw",0
"Delta",0.486997356519686
"Theta",0.522064722507733
"Alpha.1",0.513209819710235
"Alpha.2",0.522773302173933
"Beta.1",0.434443684952814
"Beta.2",0
"Gamma1",0
"Gamma2",0.340824905430363
